EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,53966,50k-55k,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0
RM302,18,18-25,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,22948,20k-25k,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
RM458,18,18-25,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,19618,15k-20k,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
RM728,18,18-25,No,Non-Travel,287,Research & Development,5,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single,30486,30k-35k,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0
RM829,18,18-25,Yes,Non-Travel,247,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,30612,30k-35k,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0
RM973,18,18-25,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,42110,40k-45k,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0
RM1154,18,18-25,Yes,Travel_Frequently,544,Sales,3,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single,40340,40k-45k,18420,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0
RM1312,18,18-25,No,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,19536,15k-20k,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0
RM128,19,18-25,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,57140,55k-60k,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
RM150,19,18-25,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,35704,35k-40k,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
RM172,19,18-25,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,45478,45k-50k,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0
RM178,19,18-25,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,21982,20k-25k,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0
RM423,19,18-25,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,40374,40k-45k,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
RM689,19,18-25,Yes,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single,23394,20k-25k,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0
RM854,19,18-25,No,Travel_Rarely,645,Research & Development,9,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single,17844,15k-20k,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0
RM893,19,18-25,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,15796,15k-20k,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
RM910,19,18-25,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,45942,45k-50k,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1
RM103,20,18-25,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,43066,40k-45k,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
RM488,20,18-25,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,27014,25k-30k,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
RM514,20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,57498,55k-60k,26999,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1
RM663,20,18-25,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,47604,45k-50k,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2
RM690,20,18-25,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,29516,25k-30k,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
RM732,20,18-25,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,40050,40k-45k,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0
RM777,20,18-25,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,37910,35k-40k,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2
RM857,20,18-25,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,29156,25k-30k,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2
RM877,20,18-25,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,13600,10k-15k,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
RM1179,20,18-25,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,30002,30k-35k,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2
RM1198,20,18-25,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,45664,45k-50k,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2
RM024,21,18-25,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,42062,40k-45k,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,
RM275,21,18-25,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,24562,20k-25k,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0
RM358,21,18-25,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,21800,20k-25k,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
RM363,21,18-25,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,9202,5k-10k,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,
